Heure;CA;ventes;Vendeurs;Panier Moyen
0h-1h;8314250;266;2;31256,5789473684
1h-2h;5964500;236;2;25273,3050847458
2h-3h;3244750;200;2;16223,75
3h-4h;2070500;152;2;13621,7105263158
4h-5h;443000;88;2;5034,09090909091
5h-6h;11000;43;2;255,813953488372
6h-7h;40000;23;1;1739,13043478261
17h-18h;0;3;1;0
18h-19h;115000;8;2;14375
19h-20h;563000;45;1;12511,1111111111
20h-21h;1274250;102;2;12492,6470588235
21h-22h;2242750;139;2;16134,8920863309
22h-23h;3757750;197;2;19074,8730964467
23h-24h;7646650;307;2;24907,654723127

